BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Unicentro Cali,-5.51E+16,56796248400,0.04
José M. Córdoba,-5.79E+18,56795214140,0.04
El Sena,-8.90E+18,56795205390,0.04
Quintas de Don Simón,-3.46E+18,56795176340,0.04
Colseguros Andes,5.98E+17,56663113460,0.04
El Guabal,6.21E+18,56658720600,0.04
José Manuel Marroquin I,-6.02E+18,56095907100,0.04
Santa Anita,-4.70E+18,56081697185,0.04
Calima,8.88E+18,56060915350,0.04
Siete de Agosto,4.13E+18,56058948900,0.04
El Sena,2.82E+17,56047438180,0.04
Nueva Floresta del Ict,-1.20E+18,55962080559,0.04
Chapinero,-8.50E+17,55839677900,0.04
La Base,-6.77E+18,55738054900,0.03
Flora Industrial,9.21E+18,55737838970,0.03
Colseguros Andes,-8.41E+18,55683156840,0.03
Bretana,-7.77E+18,55680907830,0.03
La Rivera,3.14E+17,55534643208,0.03
Unidad Residencial Santiago de Cali,-2.96E+18,55221312090,0.03
Unidad Residencial Santiago de Cali,8.48E+18,55221247285,0.03
Unidad Residencial Santiago de Cali,-2.07E+18,55221232100,0.03
El Sena,-5.43E+18,55220832650,0.03
Chapinero,-6.77E+18,55220800540,0.03
Chapinero,-5.39E+18,55220741260,0.03
Ciudad Córdoba,4.41E+18,55084955495,0.03
